         7433371 function calls (7304118 primitive calls) in 5.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10700    0.025    0.000    0.061    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\validation.py:381(_num_samples)
      482    0.060    0.000    0.060    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.060    0.060 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:480(<listcomp>)
     5300    0.003    0.000    0.060    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:441(isdtype)
     1800    0.005    0.000    0.059    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\validation.py:1417(column_or_1d)
     2000    0.035    0.000    0.059    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_tags.py:303(_find_tags_provider)
     1100    0.000    0.000    0.059    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\parallel.py:142(_get_threadpool_controller)
      900    0.047    0.000    0.059    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\metrics\cluster\_unsupervised.py:142(_silhouette_reduce)
        1    0.000    0.000    0.059    0.059 D:\mini project\FPO\FINAL\env\Lib\site-packages\threadpoolctl.py:816(__init__)
        1    0.000    0.000    0.058    0.058 D:\mini project\FPO\FINAL\env\Lib\site-packages\threadpoolctl.py:967(_load_libraries)
        1    0.018    0.018    0.058    0.058 D:\mini project\FPO\FINAL\env\Lib\site-packages\threadpoolctl.py:1042(_find_libraries_with_enum_process_module_ex)
3900/3300    0.006    0.000    0.057    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:874(save_tuple)
     5300    0.006    0.000    0.057    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:225(isdtype)
      900    0.001    0.000    0.057    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\preprocessing\_label.py:97(fit_transform)
      327    0.037    0.000    0.056    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:60(__init__)
     8753    0.010    0.000    0.056    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\numpy\_core\fromnumeric.py:2338(sum)
     3000    0.031    0.000    0.055    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geographiclib\geodesic.py:367(_C4coeff)
      326    0.002    0.000    0.053    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\managers.py:2259(_consolidate)
    99164    0.042    0.000    0.053    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:381(__getattr__)
      900    0.002    0.000    0.052    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\validation.py:1394(_check_y)
   106800    0.038    0.000    0.051    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:287(read)
     3000    0.029    0.000    0.050    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geographiclib\geodesic.py:340(_C3coeff)
     8970    0.031    0.000    0.048    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geographiclib\geodesic.py:205(_C1f)
     1000    0.047    0.000    0.048    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\numpy\_core\_ufunc_config.py:464(inner)
      200    0.002    0.000    0.047    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\preprocessing\_data.py:1044(transform)
12000/6000    0.016    0.000    0.046    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geopy\point.py:154(__new__)
     1000    0.001    0.000    0.045    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\cluster\_kmeans.py:1403(_check_params_vs_input)
     8758    0.013    0.000    0.045    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\numpy\_core\fromnumeric.py:69(_wrapreduction)
405651/375031    0.037    0.000    0.045    0.000 {built-in method builtins.len}
    57935    0.013    0.000    0.045    0.000 <frozen abc>:117(__instancecheck__)
     1000    0.002    0.000    0.044    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\cluster\_kmeans.py:868(_check_params_vs_input)
      327    0.014    0.000    0.044    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:355(_concatenate_chunks)
8200/6200    0.014    0.000    0.044    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:237(_isdtype_single)
      100    0.000    0.000    0.044    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\preprocessing\_data.py:869(fit)
    11500    0.014    0.000    0.043    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:851(save_str)
      327    0.014    0.000    0.043    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\managers.py:2190(_form_blocks)
      200    0.001    0.000    0.042    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
328029/328024    0.041    0.000    0.041    0.000 {built-in method builtins.getattr}
